Entity,Code,Year,Total plastic pollution
Afghanistan,AFG,2020,457234.1
Africa (UN M49),,2020,15593568
Akrotiri and Dhekelia,OWID_AKD,2020,5.4556904
Aland Islands,ALA,2020,6.1682653
Albania,ALB,2020,22258.988
Algeria,DZA,2020,379622.28
American Samoa,ASM,2020,238.36322
Americas (UN M49),,2020,4680903
Andorra,AND,2020,11.638396
Angola,AGO,2020,550440.8
Anguilla,AIA,2020,217.5912
Antigua and Barbuda,ATG,2020,71.44217
Argentina,ARG,2020,350879.56
Armenia,ARM,2020,15871.802
Aruba,ABW,2020,67.65136
Asia (UN M49),,2020,28995218
Australia,AUS,2020,2197.9263
Austria,AUT,2020,1239.0231
Azerbaijan,AZE,2020,90491.38
Bahamas,BHS,2020,236.86935
Bahrain,BHR,2020,54.66219
Bangladesh,BGD,2020,1748214.6
Barbados,BRB,2020,138.24854
Belarus,BLR,2020,55702.91
Belgium,BEL,2020,1167.2726
Belize,BLZ,2020,6972.0547
Benin,BEN,2020,168522.36
Bermuda,BMU,2020,7.8763576
Bhutan,BTN,2020,5694.4727
Bolivia,BOL,2020,79523.164
Bonaire Sint Eustatius and Saba,BES,2020,23.296963
Bosnia and Herzegovina,BIH,2020,33422.5
Botswana,BWA,2020,32271.828
Brazil,BRA,2020,1444823.6
British Virgin Islands,VGB,2020,23.77758
Brunei,BRN,2020,77.26247
Bulgaria,BGR,2020,50611.79
Burkina Faso,BFA,2020,185330.66
Burundi,BDI,2020,145231.42
Cambodia,KHM,2020,413564
Cameroon,CMR,2020,432957.44
Canada,CAN,2020,3023.6907
Cape Verde,CPV,2020,5693.1367
Cayman Islands,CYM,2020,31.641447
Central African Republic,CAF,2020,50706.145
Chad,TCD,2020,211832.52
Chile,CHL,2020,11282.833
China,CHN,2020,2808179
Christmas Island,CXR,2020,48.290787
Cocos Islands,CCK,2020,7.296715
Colombia,COL,2020,153451.33
Comoros,COM,2020,11305.985
Congo,COG,2020,79951.086
Cook Islands,COK,2020,5.4943285
Costa Rica,CRI,2020,24189.676
Cote d'Ivoire,CIV,2020,394833.56
Croatia,HRV,2020,900.71735
Cuba,CUB,2020,48447.395
Curacao,CUW,2020,111.933136
Cyprus,CYP,2020,105.839035
Czechia,CZE,2020,1549.3123
Democratic Republic of Congo,COD,2020,963327.8
Denmark,DNK,2020,606.37756
Djibouti,DJI,2020,19977.977
Dominica,DMA,2020,797.65686
Dominican Republic,DOM,2020,79382.41
East Timor,TLS,2020,18139.385
Ecuador,ECU,2020,88459.695
Egypt,EGY,2020,807596.25
El Salvador,SLV,2020,89809.4
Equatorial Guinea,GNQ,2020,33100.668
Eritrea,ERI,2020,43718.727
Estonia,EST,2020,223.69931
Eswatini,SWZ,2020,20084.062
Ethiopia,ETH,2020,651876.5
Europe (UN M49),,2020,2652463.8
Falkland Islands,FLK,2020,2.5423121
Faroe Islands,FRO,2020,14.036695
Fiji,FJI,2020,6181.556
Finland,FIN,2020,663.258
France,FRA,2020,8831.901
French Guiana,GUF,2020,916.2683
French Polynesia,PYF,2020,55.4852
Gabon,GAB,2020,7838.031
Gambia,GMB,2020,29142.145
Georgia,GEO,2020,27949.57
Germany,DEU,2020,7725.0713
Ghana,GHA,2020,385727.34
Gibraltar,GIB,2020,0.90770936
Greece,GRC,2020,1908.8007
Greenland,GRL,2020,141.83893
Grenada,GRD,2020,694.0487
Guadeloupe,GLP,2020,236.45692
Guam,GUM,2020,41.050705
Guatemala,GTM,2020,263614.2
Guernsey,GGY,2020,7.5582514
Guinea,GIN,2020,85917.85
Guinea-Bissau,GNB,2020,22175.262
Guyana,GUY,2020,6907.32
Haiti,HTI,2020,229492.72
High-income countries,OWID_HIC,2020,162636.08
Honduras,HND,2020,126403.18
Hong Kong,HKG,2020,340.64108
Hungary,HUN,2020,2706.6091
Iceland,ISL,2020,30.951498
India,IND,2020,9275777
Indonesia,IDN,2020,3352228.8
Iran,IRN,2020,560725.4
Iraq,IRQ,2020,799891.1
Ireland,IRL,2020,658.7798
Isle of Man,IMN,2020,8.695926
Israel,ISR,2020,604.8764
Italy,ITA,2020,7684.2534
Jamaica,JAM,2020,23652.629
Japan,JPN,2020,6185.026
Jersey,JEY,2020,10.062596
Jordan,JOR,2020,124390.95
Kazakhstan,KAZ,2020,238988.34
Kenya,KEN,2020,602474.5
Kiribati,KIR,2020,1354.241
Kosovo,OWID_KOS,2020,20973.947
Kuwait,KWT,2020,273.02838
Kyrgyzstan,KGZ,2020,118569.97
Laos,LAO,2020,127090.16
Latvia,LVA,2020,956.4887
Lebanon,LBN,2020,43520.19
Lesotho,LSO,2020,44823.047
Liberia,LBR,2020,60755.016
Libya,LBY,2020,40313.05
Liechtenstein,LIE,2020,4.741585
Lithuania,LTU,2020,1392.8905
Low-income countries,OWID_LIC,2020,7488700.5
Lower-middle-income countries,OWID_LMC,2020,30408730
Luxembourg,LUX,2020,69.083244
Macao,MAC,2020,25.21084
Madagascar,MDG,2020,190784.23
Malawi,MWI,2020,171474.25
Malaysia,MYS,2020,197552.44
Maldives,MDV,2020,7014.6514
Mali,MLI,2020,205639.2
Malta,MLT,2020,33.700283
Marshall Islands,MHL,2020,465.46875
Martinique,MTQ,2020,196.51158
